Date,PeerFlow5,OwnFlow5,Forward5,ExitDate5,PeerFlow20,OwnFlow20,Forward20,ExitDate20,PeerFlow60,OwnFlow60,Forward60,ExitDate60,rate_us_real_10y_level,rate_us_real_10y_change_20d,currency_usdcnh_return_20d,price_return_20d
2013-11-26,0.038168181731,0.017386164091,-0.015918367347,2013-12-04,0.038168181731,-0.008472135147,-0.036326530612,2013-12-25,-0.698449184126,1.217224916641,0.077142857143,2014-02-27,0.560000000000,0.210000000000,0.000908015480,-0.065934065934
2013-11-27,0.076336363463,0.017386164091,-0.006132461161,2013-12-05,0.076336363463,0.033102644681,-0.028618152085,2013-12-26,-0.687362689140,1.217224916641,0.067457072772,2014-02-28,0.540000000000,0.190000000000,0.000135679074,-0.067654884074
2013-11-28,0.076336363463,0.004318385960,-0.009836065574,2013-12-06,0.076336363463,0.033323262303,-0.024590163934,2013-12-27,-0.687362689140,1.213499828682,0.083196721311,2014-03-03,0.580000000000,0.210000000000,0.000509591833,-0.066207424416
2013-11-29,0.112360251937,0.000000000000,-0.008183306056,2013-12-09,0.133588636060,0.044629308960,-0.017184942717,2013-12-30,-0.599731805328,1.107429682717,0.094517184943,2014-03-04,0.580000000000,0.180000000000,-0.000738855595,-0.061106840892
2013-12-02,0.112360251937,0.000000000000,0.003717472119,2013-12-10,0.133588636060,0.044629308960,-0.022717885171,2013-12-31,-0.599731805328,0.990915895482,0.084675753821,2014-03-05,0.600000000000,0.100000000000,-0.000344204387,-0.051857585139
2013-12-03,0.110294793473,-0.025633576567,0.020738282870,2013-12-11,0.152672726926,0.017851723584,-0.009124844463,2014-01-02,-0.592993245717,0.823551987719,0.088345085027,2014-03-06,0.660000000000,0.160000000000,-0.000041075859,-0.066227730442
2013-12-04,0.106383607468,-0.025633576567,0.009461127108,2013-12-12,0.190840908657,0.017851723584,-0.007404360346,2014-01-03,-0.459273423667,0.651852710259,0.089263677499,2014-03-07,0.640000000000,0.090000000000,-0.000936337279,-0.065942591156
2013-12-05,0.141844809958,-0.051597812253,-0.000413907285,2013-12-13,0.229009090389,-0.015620258136,0.008692052980,2014-01-06,-0.441942351076,0.499768814426,0.086506622517,2014-03-10,0.730000000000,0.250000000000,-0.000743799955,-0.061799922750
2013-12-06,0.050505333924,-0.089717517986,-0.004950495050,2013-12-16,0.190840908657,-0.049092239856,0.002475247525,2014-01-07,-0.459273423667,0.401136333745,0.078795379538,2014-03-11,0.760000000000,0.300000000000,-0.001018848701,-0.060240963855
2013-12-09,0.067340445233,-0.089717517986,-0.004526748971,2013-12-17,0.209924999523,-0.049092239856,-0.006172839506,2014-01-08,-0.450607887371,0.238277890136,0.090946502058,2014-03-12,0.770000000000,0.180000000000,-0.001989804309,-0.041122973507
2013-12-10,0.049669148284,-0.081116158339,-0.016659894352,2013-12-18,0.209924999523,-0.070932047099,-0.020723283218,2014-01-09,-0.450607887371,0.214408233276,0.092645266152,2014-03-13,0.740000000000,0.150000000000,-0.002352437981,-0.028605482718
2013-12-11,0.016025726633,-0.070154515320,-0.016707416463,2013-12-19,0.209924999523,-0.078237738408,-0.016299918500,2014-01-10,-0.450607887371,0.228895276065,0.102281988590,2014-03-14,0.690000000000,0.070000000000,-0.002146964225,-0.015593762495
2013-12-12,-0.093168184100,-0.047604366907,-0.018219461698,2013-12-20,0.114504545194,-0.092845298141,0.014906832298,2014-01-13,-0.506758183441,0.206815727187,0.118426501035,2014-03-17,0.710000000000,0.130000000000,0.000181029730,-0.026232114467
2013-12-13,-0.064102906533,-0.030506692699,-0.023631840796,2013-12-23,0.114504545194,-0.106029393945,0.015339966833,2014-01-14,-0.502556793177,0.160051216389,0.121061359867,2014-03-18,0.750000000000,0.240000000000,-0.000213916063,-0.045922406968
2013-12-16,-0.063091814363,-0.030506692699,-0.025630425796,2013-12-24,0.133588636060,-0.102143714032,0.008681273253,2014-01-15,-0.494038881428,0.128367601110,0.103761885076,2014-03-19,0.720000000000,0.190000000000,0.000148198157,-0.045904234270
